doc_index,register,pca1,pca2,explained_var_pc1,explained_var_pc2
127,informal,0.07094522,-0.23085861,0.078987226,0.055545554
128,informal,0.09438661,-0.16707112,0.078987226,0.055545554
129,informal,0.18919075,-0.35803512,0.078987226,0.055545554
130,informal,0.18919075,-0.35803512,0.078987226,0.055545554
131,informal,0.18919075,-0.35803512,0.078987226,0.055545554
132,informal,0.18919075,-0.35803512,0.078987226,0.055545554
133,informal,0.18919075,-0.35803512,0.078987226,0.055545554
134,informal,0.14130442,-0.041160505,0.078987226,0.055545554
135,informal,-0.13371338,-0.12737845,0.078987226,0.055545554
136,informal,-0.08620801,-0.16259691,0.078987226,0.055545554
137,informal,-0.08782684,-0.19511867,0.078987226,0.055545554
138,informal,-0.1263471,-0.17718847,0.078987226,0.055545554
139,informal,-0.11773852,-0.20110692,0.078987226,0.055545554
140,informal,-0.05377584,-0.26749408,0.078987226,0.055545554
141,informal,-0.09804281,-0.26451313,0.078987226,0.055545554
142,informal,-0.10420783,-0.2670905,0.078987226,0.055545554
143,informal,-0.08822045,-0.22767578,0.078987226,0.055545554
144,informal,-0.044103917,-0.30340487,0.078987226,0.055545554
145,informal,0.31255534,0.1368406,0.078987226,0.055545554
146,informal,0.31255534,0.1368406,0.078987226,0.055545554
147,informal,0.31255534,0.1368406,0.078987226,0.055545554
148,informal,0.31255534,0.1368406,0.078987226,0.055545554
149,informal,0.31255534,0.1368406,0.078987226,0.055545554
150,informal,0.52334076,0.13308273,0.078987226,0.055545554
151,informal,0.33518416,0.14521293,0.078987226,0.055545554
152,informal,0.3777789,0.1281396,0.078987226,0.055545554
153,informal,0.38671353,0.091260046,0.078987226,0.055545554
154,informal,0.36034787,0.09919702,0.078987226,0.055545554
